"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"29","Site Centers Corp","SITC","60101040",1097152,417,89,186,304,73,139,0,0,97,2297.23100903191,0,"Yes"
"30","Schneider National Inc","SNDR","20304020",1097153,4775,1976,4756,3164,7,49,162,0,117,3798.29968779781,0.0285,"Yes"
"31","Resideo Technologies Inc","REZI","20104010",1097155,5271,3915,2581,860,132,0,2623,141,236,1593.88453410934,0.1817,"Yes"
"32","Pluralsight Inc","PS","45102010",1097156,446,86,759,123,22,0,314,108,84,2609.57603459626,0,"Yes"
"33","Okta Inc","OKTA","45103020",1097157,822,181,901,195,35,139,51,178,172,29046.19159,0,"Yes"
"34","nVent Electric PLC","NVT","20104010",1097158,2112,1298,1319,731,1152,42,2263,46,336,4021.60697029344,0.0014,"Yes"
"35","Nutanix Inc","NTNX","45102010",1097159,1300,242,2850,521,50,58,190,535,-388,6187.7998539,2e-04,"Yes"
"36","Linde PLC","LIN","15101010",1097160,28582,17015,7420,46641,14038,697,23504,176,4899,131167.343410328,0.6174,"Yes"
"37","Keurig Dr Pepper Inc","KDP","30201030",1097161,11976,5132,9007,4142,31758,450,26563,79,2691,42974.4967472057,0.2733,"Yes"
"38","Jazz Pharmaceuticals PLC","JAZZ","35202010",1097162,2539,161,2182,201,2014,122,759,453,915,8257.54354266112,0.0012,"Yes"
"39","GrafTech International Ltd","EAF","15104020",1097163,1253,463,256,768,82,7,168,1,568,2775.95524780606,0.0018,"Yes"
"40","GCI Liberty Inc","GLIBA","50101020",1097164,979,286,1024,1244,707,109,819,0,192,8422.9218170258,0,"Yes"
"41","Gates Industrial Corp PLC","GTES","20104020",1097165,3001,1866,2283,0,1911,100,2099,0,319,3796.76805654528,0.0014,"Yes"
"42","Frontdoor Inc","FTDR","25302020",1097167,1621,825,1098,179,198,20,520,0,243,4453.1221120923,0.001,"Yes"
"43","Docusign Inc","DOCU","45103020",1097168,1430,305,1700,359,64,131,221,203,405,45517.9791287936,4e-04,"Yes"
"44","Colony Capital Inc","CLNY","60101010",1097169,1495,712,920,11190,430,106,1462,0,92,4864.43063710642,9e-04,"Yes"
"45","Ceridian HCM Holding Inc","CDAY","45103020",1097170,961,540,758,487,177,0,1973,71,161,14868.7259455161,0,"Yes"
"46","Booking Holdings Inc","BKNG","25301030",1097171,10110,0,23040,2437,2163,480,3225,0,1813,86243.6302844032,0.3704,"Yes"
"47","ADT Inc","ADT","45201020",1097173,5304,1502,3976,5637,6669,105,4959,0,1723,7043.75346825858,0.0541,"Yes"
"48","Broadcom Inc","AVGO","45301020",1097174,26050,9298,4028,5458,18536,674,38768,4117,15114,184141.510364637,1,"Yes"
"49","Encompass Health Corp","EHC","35102015",1097175,5042,183,8305,3931,505,239,2445,0,568,8855.33971164116,0.043,"Yes"
"50","Ardagh Group SA","ARD","15103010",1097176,6924,5802,809,4314,819,0,1056,0,85,4232.1000615327,1,"Yes"
"51","Switch Inc","SWCH","45202030",1097177,572,298,421,2349,0,27,0,0,75,3872.29188,0,"Yes"
"52","Floor & Decor Holdings Inc","FND","25504030",1097178,2920,1670,1940,1571,109,21,227,0,35,9680.62603341406,0.0016,"Yes"
"53","JBG SMITH Properties","JBGS","60101040",1097179,655,258,456,6522,72,25,0,0,-339,4209.69648861146,0,"Yes"
"54","Black Knight Inc","BKI","45103020",1097181,1404,0,0,426,569,22,2418,0,523,13696.8524119969,1,"Yes"
"55","Tapestry Inc","TPR","25504010",1097182,5323,1632,8796,3661,1592,929,1502,0,755,8233.564703,0.064,"Yes"
"56","Baker Hughes Co","BKR","10101020",1097183,20425,16930,7397,11377,5567,340,21406,593,1931,15743.9905847294,0.4223,"No"
"57","Iqvia Holdings Inc","IQV","35201010",1097184,12525,8126,4836,2222,5835,487,12868,0,2068,32052.2518930878,0.4011,"Yes"
"58","DuPont de Nemours Inc","DD","15101020",1097186,21118,13707,8582,7293,12783,428,31177,971,3639,48751.6368388127,0.4775,"Yes"
"59","PulteGroup  Inc.","PHM","25201030",1097187,13375,9945,2875,478,177,45,0,0,52,10922.8252749045,0.9109,"Yes"
"60","Lamb Weston Holdings Inc","LW","30202030",1097189,3581,2714,901,3363,40,159,319,14,553,11242.36274512,0.0047,"Yes"
"61","Alcoa Corp","AA","15104010",1097191,9614,7866,801,20667,52,39,150,24,831,4493.997319,0.3291,"Yes"
"62","Steris PLC","STE","35101020",1097192,3104,1724,2016,2261,572,115,2385,66,398,16288.2889784448,0.0017,"Yes"
"63","AGNC Investment Corp","AGNC","60101080",1097193,1446,0,85,0,0,0,0,0,0,8707.67166302596,0.009,"Yes"
"64","Arconic Corp (PITTSBURGH)","ARNC","15104010",1097194,6497,5459,951,7082,22,15,354,39,341,3364.80927110328,0.2477,"Yes"
"65","IHS Markit Ltd","INFO","20202020",1097196,4582,1660,3382,1758,4670,393,11019,0,1529,35363.9592470685,0.0017,"Yes"
"66","Willis Towers Watson PLC","WLTW","40301030",1097197,9698,0,15718,3005,3516,670,11318,0,1879,27353.8723791575,0.1889,"Yes"
"67","Hilton Grand Vacations Inc","HGV","25301020",1097202,1425,1068,288,955,89,61,0,0,102,2611.36681823388,0.0025,"Yes"
"68","Invitation Homes Inc","INVH","60101060",1097203,1901,757,240,18247,0,12,270,0,1036,16859.707334891,0.006,"Yes"
"69","Park Hotels & Resorts Inc","PK","60101080",1097204,1574,752,2699,11931,46,222,607,0,111,4558.1501910576,4e-04,"Yes"
"70","Valvoline Inc","VVV","15101050",1097207,2662,1698,1189,1107,87,203,507,14,252,4381.00753682592,0.0023,"Yes"
"71","Hilton Worldwide Holdings Inc","HLT","25301020",1097208,6809,4081,4295,1777,6078,527,5159,0,1080,29296.2328076,0.153,"Yes"
"72","Virtu Financial Inc","VIRT","40203040",1097209,1302,274,924,734,734,118,1593,0,1559,4564.24854759511,6e-04,"Yes"
"73","Caesars Entertainment Inc","CZR","25301010",1097210,8486,3798,2049,4053,2117,285,1567,0,1871,13813.1291027614,0.4508,"Yes"
"74","Pure Storage Inc","PSTG","45202030",1097211,1662,499,2040,508,62,62,40,1662,747,5515.183756992,5e-04,"Yes"
"75","Liberty Media Formula One","FWONA","50201020",1097212,2160,1468,597,157,4303,0,3956,0,582,7582.27075922896,0.0032,"Yes"
"76","Wayfair Inc","W","25503010",1097213,16184,11549,7169,1916,18,219,0,0,626,52643.4305886,0.8858,"Yes"
"77","Ubiquiti Inc","UI","45201020",1097214,1680,875,122,145,3,24,0,115,476,16444.3440791862,0.0094,"Yes"
"78","Univar Solutions Inc","UNVR","15101010",1097215,8395,6385,4035,2405,345,135,2464,0,418,3298.04796718054,0.2936,"Yes"
"79","2U Inc","TWOU","45102010",1097216,909,380,1271,77,333,57,418,0,25,2214.68938727485,0,"Yes"
"80","PRA Health Sciences Inc","PRAH","35201010",1097217,3487,2487,1137,538,701,155,1651,0,420,7428.25850558758,0.0036,"Yes"
"81","Columbia Sportswear Company","COLM","25203010",1097218,2832,1430,2986,1311,123,0,68,0,176,5631.94476486472,0.001,"Yes"
"82","Pegasystems Inc.","PEGA","45103020",1097219,1220,344,1389,164,21,0,84,243,44,9657.34191075533,3e-04,"Yes"
"83","RingCentral Inc","RNG","45103020",1097220,1440,381,1629,242,138,8,60,210,723,22868.359071786,5e-04,"Yes"
"84","Sarepta Therapeutics Inc","SRPT","35201010",1097221,748,77,775,293,-91,51,0,659,-477,13422.1266309568,0,"Yes"
"85","Molina Healthcare  Inc.","MOH","35102030",1097222,23020,19429,6320,899,19,68,93,0,1262,12182.3544586982,1,"Yes"
"86","RealPage Inc","RP","45103020",1097223,1284,474,992,499,499,67,2160,143,157,6967.22100803117,5e-04,"Yes"
"87","Penumbra Inc","PEN","35101020",1097224,677,216,747,0,30,13,9,65,-15,7021.450450047,0,"Yes"
"88","SAGE Therapeutics Inc","SAGE","35201010",1097225,447,13,674,48,0,0,0,262,1984,7501.59113737899,0,"Yes"
"89","Nektar Therapeutics","NKTR","35201010",1097226,165,27,264,330,0,0,76,390,-263,3010.87172384947,0,"Yes"
"90","EXACT Sciences Corporation","EXAS","35201010",1097227,1863,463,2224,715,1143,106,1202,269,-135,20724.9917993823,7e-04,"Yes"
"91","Zendesk Inc","ZEN","45103020",1097228,1270,273,1481,295,46,88,210,298,238,12934.5061891861,3e-04,"Yes"
"92","ICU Medical Inc","ICUI","35101020",1097229,1226,744,844,877,244,0,36,47,172,4164.26000369932,5e-04,"Yes"
"93","Paycom Software Inc","PAYC","45103020",1097230,1006,145,879,472,0,1,51,106,188,24849.8481015789,1e-04,"Yes"
"94","BGC Partners  Inc.","BGCP","40203020",1097231,2194,17,4853,632,323,181,591,0,614,2371.83750878528,4e-04,"Yes"
"95","Insulet Corporation","PODD","35101020",1097232,1038,336,851,614,13,17,39,170,-5,15937.3976578498,1e-04,"Yes"
"96","Integra Lifesciences Holdings Corp","IART","35101020",1097233,1479,466,1764,781,1447,85,1338,72,273,5008.74840344242,5e-04,"Yes"
"97","GrubHub Inc","GRUB","45103020",1097234,2197,0,3214,493,637,80,1283,0,49,6234.51475435403,6e-04,"Yes"
"98","Cantel Medical Corp.","CMD","35101020",1097235,1160,600,782,405,557,43,766,34,198,3166.325078952,4e-04,"Yes"
"99","Catalent Inc","CTLT","35202010",1097236,3716,2444,1484,3046,1021,96,2838,73,203,17114.7309448928,0.003,"Yes"
"100","CoreSite Realty Corp","COR","60101040",1097237,656,246,272,2259,20,187,40,0,194,5255.68848182948,0,"Yes"
"101","Chemed Corporation","CHE","35102015",1097238,2186,1448,855,570,133,16,611,0,298,7821.46253980055,0.0023,"Yes"
"102","Bright Horizons Family Solutions Inc","BFAM","25302020",1097239,1938,1503,620,1866,319,312,1480,0,221,9922.65048794915,0.0025,"Yes"
"103","Grand Canyon Education Inc","LOPE","25302020",1097240,921,0,1457,155,202,17,160,0,259,4273.45396898203,0,"Yes"
"104","Evercore Inc","EVR","40203020",1097241,2055,20,4159,445,2,51,124,0,664,4736.29000608529,4e-04,"Yes"
"105","Proofpoint Inc","PFPT","45102010",1097242,1192,234,1461,250,252,43,933,309,348,5256.8996756892,2e-04,"Yes"
"106","EPAM Systems Inc","EPAM","45102010",1097243,3206,2041,1251,542,63,2,219,0,344,19201.9423255006,0.0029,"Yes"
"107","Universal Display Corporation","OLED","45301020",1097244,544,110,192,184,59,0,9,96,189,11193.3666382579,0,"Yes"
"108","Littelfuse  Inc.","LFUS","20104010",1097245,1565,1001,676,857,353,19,903,81,203,6049.04078973402,0.0014,"Yes"
"109","Monolithic Power Systems  Inc.","MPWR","45301020",1097246,939,411,426,439,0,0,6,169,174,14758.9675483837,0,"Yes"
"110","MKS Instruments  Inc.","MKSI","20106020",1097247,2472,1343,946,947,782,52,1467,197,460,8099.20137662274,0.0026,"Yes"
"111","Medical Properties Trust  Inc.","MPW","60101080",1097248,1377,30,324,8674,0,76,0,0,1246,11329.6556130207,0.002,"Yes"
"112","Masimo Corporation","MASI","35101020",1097249,1177,387,958,401,27,0,22,112,227,15924.8485899343,3e-04,"Yes"
"113","Hudson Pacific Properties Inc","HPP","60101040",1097250,753,277,191,6838,285,4397,8,0,201,4064.47476598341,0,"Yes"
"114","bluebird bio Inc","BLUE","35201010",1097251,168,3,651,403,14,0,13,629,-505,2843.96214110527,0,"Yes"
"115","Fair Isaac Corporation","FICO","45103020",1097252,1345,378,1117,197,14,89,814,145,465,15064.9622252702,5e-04,"Yes"
"116","Curtiss-Wright Corp.","CW","20101010",1097253,2511,1588,1232,1322,570,92,1386,71,381,4836.83907940572,0.002,"Yes"
"117","Teledyne Technologies Incorporated","TDY","45203010",1097254,3261,1933,2111,1302,531,70,2532,0,470,14723.6851243283,0.0018,"Yes"
"118","Aspen Technology  Inc.","AZPN","45102010",1097255,727,58,516,0,51,0,160,90,256,8923.8459475542,0,"Yes"
"119","Coherent  Inc.","COHR","45203010",1097256,1381,838,908,812,104,36,527,114,-107,3286.41850195059,7e-04,"Yes"
"120","Take-Two Interactive Software Inc","TTWO","25202010",1097257,3283,1401,1888,484,377,0,321,330,832,21753.4339871552,0.002,"Yes"
"121","XPO Logistics Inc","XPO","20304020",1097258,17118,8292,4923,7057,1092,1206,4450,0,870,12792.6218523264,0.6357,"Yes"
"122","New Residential Investment Corp","NRZ","60101080",1097259,887,0,603,0,0,0,0,0,0,3875.27873175114,0,"Yes"
"123","Exelixis  Inc.","EXEL","35201010",1097261,1161,46,719,122,0,0,63,539,227,6215.01625600996,4e-04,"Yes"
"124","Olin Corporation","OLN","15101010",1097262,6360,5458,1333,6899,448,241,2119,0,482,3679.66131502032,0.1556,"Yes"
"125","Chemours Co","CC","15101010",1097263,5396,4061,1687,9776,21,218,154,72,515,4413.6287041849,0.0815,"Yes"
"126","Advanced Micro Devices  Inc.","AMD","45301020",1097264,11952,6403,2107,1796,210,78,289,2415,2074,112768.629631412,0.6786,"Yes"
"127","CF Industries Holdings  Inc.","CF","15101030",1097265,4314,3371,681,14313,110,239,2365,0,812,8141.10449633546,0.0078,"Yes"
"128","Cerner Corporation","CERN","35101010",1097266,5732,981,8676,3831,1304,106,883,456,1105,22108.9125602243,0.1141,"Yes"
"129","Celanese Corporation","CE","15101010",1097268,5919,4290,1262,7260,329,151,1132,58,950,15066.695597316,0.1352,"Yes"
"130","CDW Corp","CDW","45102010",1097269,18607,15394,5342,705,594,130,2553,0,1063,18503.5501247365,0.6633,"Yes"
"131","Cadence Design Systems Inc","CDNS","45103020",1097270,2831,253,1850,1183,181,32,696,1079,791,32839.1180801977,0.0016,"Yes"
"132","CDK Global Inc","CDK","45103020",1097271,1937,910,1304,438,235,57,1348,68,516,6221.33377866,0.0012,"Yes"
"133","Carnival Corp","CCL","25301020",1097272,7946,8738,7063,59617,1174,2128,2912,0,-5366,24880.8022962347,0.0837,"Yes"
"134","Crown Holdings  Inc.","CCK","15103010",1097273,12114,9736,1602,9083,2595,176,5706,56,980,12945.5600143664,0.4376,"Yes"
"135","Crown Castle International Corp","CCI","60101080",1097274,6187,2025,1721,31045,5400,2779,11253,0,2317,68349.1617371289,0.0877,"Yes"
"136","Cabot Corp","CBT","15101010",1097275,2832,2189,840,3448,92,102,86,49,177,2354.91609732725,0.0036,"Yes"
"137","Flowers Foods  Inc.","FLO","30202030",1097276,4224,2173,4707,2423,750,214,545,0,300,4778.74461533511,0.0011,"Yes"
"138","FLIR Systems  Inc.","FLIR","45201020",1097277,1928,950,1171,752,309,27,1706,207,378,5349.63170273413,0.0013,"Yes"
"139","Foot Locker  Inc.","FL","25504010",1097278,7622,5483,4713,5097,20,136,156,0,411,4470.5402958,0.336,"Yes"
"140","Fiserv Inc","FISV","20201070",1097279,15156,7620,8314,3718,20525,668,41928,0,2630,76913.6308015317,0.3846,"Yes"
"141","Fidelity National Information Servcs Inc","FIS","40203040",1097280,13732,8593,7935,3921,20191,439,55513,0,3761,91972.2058817206,0.3297,"Yes"
"142","F5 Networks  Inc.","FFIV","45102010",1097281,2492,373,2767,565,146,0,1432,449,602,10437.9885972747,9e-04,"Yes"
"143","FireEye Inc","FEYE","45103020",1097282,980,287,1547,354,144,43,1292,271,143,2293.19580278038,0,"Yes"
"144","FedEx Corporation","FDX","20301010",1097283,77089,22185,91361,78941,322,8440,6376,0,2645,76864.396458,1,"Yes"
"145","FactSet Research Systems Inc.","FDS","20202020",1097284,1578,727,998,0,121,0,709,0,435,13429.3194096192,0.001,"Yes"
"146","Freeport-McMoRan Inc","FCX","15104020",1097286,18277,12182,1265,76388,475,111,0,92,1595,35881.3359384269,0.423,"Yes"
"147","Fortune Brands Home & Security Inc","FBHS","20102010",1097287,6796,4342,3559,2181,1135,123,2030,56,703,11654.4194504774,0.2094,"Yes"
"148","Facebook Inc","FB","45102030",1097288,104562,20651,42964,76952,901,6,18864,23226,20751,807122.410511616,1,"Yes"
"149","Fastenal Company","FAST","20106020",1097289,5826,3157,4175,2276,0,114,0,0,864,27874.8736553892,0.2449,"Yes"
"150","Diamondback Energy Inc","FANG","10102020",1097290,3220,773,236,27904,0,14,0,0,935,7977.05403289281,0.0147,"No"
"151","Ford Motor Company","F","25102010",1097291,145337,125760,34209,103405,188,1202,278,6804,-5597,36824.6790912,1,"Yes"
"152","Cboe Global Markets Inc","CBOE","40203040",1097293,1245,438,767,222,1619,34,2682,0,599,9416.89326042607,6e-04,"Yes"
"153","CBRE Group Inc","CBRE","60102040",1097294,24979,17690,9629,3104,1495,324,4069,0,1225,22202.6152201024,0.7011,"Yes"
"154","Caterpillar Inc.","CAT","20106010",1097295,45360,32273,14556,25519,1558,472,6168,1483,4185,94895.1685543344,0.7452,"Yes"
"155","Casey's General Stores Inc","CASY","30101030",1097296,8475,6140,0,5382,0,19,163,0,315,6185.95861119808,1,"Yes"
"156","FMC Corp","FMC","15101020",1097297,5044,2692,1914,1244,2629,102,1467,308,1101,15263.394392034,0.0505,"Yes"
"157","FleetCor Technologies  Inc.","FLT","20201070",1097298,2683,0,3432,555,2350,81,4851,0,764,23378.8786506122,8e-04,"Yes"
"158","Flowserve Corp","FLS","20106020",1097299,3527,2395,2496,1801,168,149,1112,38,344,4727.44686720272,0.0017,"Yes"
"159","Fluor Corporation (NEW)","FLR","20103010",1097300,14694,14202,494,942,0,221,384,0,167,6429.4886919858,1,"Yes"
"160","Neurocrine Biosciences  Inc.","NBIX","35201010",1097301,1239,30,1068,135,12,0,0,301,369,9482.55287791681,4e-04,"Yes"
"161","National Instruments Corp","NATI","45103020",1097303,1365,344,1686,797,84,0,264,271,204,5205.19857549713,4e-04,"Yes"
"162","Mylan NV","MYL","35202010",1097304,18621,9110,7169,4380,12650,264,10414,749,3894,21518.6370088661,0.5295,"Yes"
"163","Maxim Integrated Products Inc.","MXIM","45301020",1097305,2472,794,911,1770,91,38,582,470,990,22785.5700551568,0.0027,"Yes"
"164","Murphy Oil Corporation","MUR","10102020",1097306,1883,282,1125,17220,0,192,0,67,543,1975.78337096539,0.0013,"No"
"165","Micron Technology  Inc.","MU","45301020",1097307,24213,16196,2466,74027,334,464,1228,2759,928,81433.5309216,0.5019,"Yes"
"166","Vail Resorts  Inc.","MTN","25301030",1097308,1795,1099,744,4388,332,211,1802,0,260,11673.5496835104,0.0018,"Yes"
"167","Mettler-Toledo International Inc.","MTD","20106020",1097309,3280,1354,2370,1514,195,54,508,149,676,27068.5554996017,0.0016,"Yes"
"168","Match Group Inc","MTCH","45102030",1097310,2839,772,2022,252,217,30,1183,210,261,43665.6723910638,0.0015,"Yes"
"169","MSC Industrial Direct Co Inc","MSM","20106020",1097311,3179,1848,76,885,107,52,697,0,283,4727.4944602102,0.0453,"Yes"
"170","Motorola Solutions Inc","MSI","45201020",1097312,8025,3963,3833,3355,1841,419,2868,679,1599,30338.966237396,0.2228,"Yes"
"171","Madison Square Garden Sports Corp","MSGS","50202010",1097313,352,330,986,796,115,232,228,0,-70,4316.5901301614,0,"Yes"
"172","Microsoft Corporation","MSFT","45103020",1097314,158556,50198,67820,96101,7169,5760,44161,21176,52213,1604129.9251848,1,"Yes"
"173","Msci Inc","MSCI","20202020",1097315,1865,316,925,422,237,149,1418,106,960,35217.5621261071,0.0016,"Yes"
"174","Morgan Stanley","MS","40203020",1097316,45375,0,48165,0,2107,2577,7143,0,0,113827.079915309,1,"Yes"
"175","Marvell Technology Group Ltd.","MRVL","45301020",1097317,2957,1365,927,1207,3144,124,5516,1099,624,29224.425812519,0.0035,"Yes"
"176","Marathon Oil Corporation","MRO","10102020",1097318,3322,580,1857,0,0,172,104,97,839,5840.0990706141,0.0021,"No"
"177","Merck & Co.  Inc.","MRK","35202010",1097319,52127,12937,31151,39243,14459,436,19786,10171,14078,208224.15750215,0.761,"Yes"
"178","Marathon Petroleum Corp","MPC","10102030",1097320,67544,59628,10290,69811,0,2001,21274,0,925,20663.2154910312,0.9131,"No"
"179","Mosaic Co","MOS","15101030",1097321,8838,7403,1078,20778,0,104,1247,0,358,7778.29283316436,0.2662,"Yes"
"180","Altria Group Inc","MO","30203010",1097322,26686,12626,6887,5143,12100,190,4937,171,8901,79675.2624338689,0.8991,"Yes"
"181","Monster Beverage Corp","MNST","30201030",1097323,5078,2038,1759,608,1130,0,1431,0,1381,46158.1267058125,0.2565,"Yes"
"182","3M Co","MMM","20105010",1097324,33721,17424,20680,28780,6324,720,13329,1896,5969,100850.254158395,0.6021,"Yes"
"183","Marsh & McLennan Companies  Inc.","MMC","40301030",1097325,17854,0,27275,4890,2896,1260,15316,0,3547,58884.9239621692,0.3564,"Yes"
"184","Martin Marietta Materials  Inc.","MLM","15102010",1097326,4451,3250,774,9769,581,282,2860,0,743,16687.2593448688,0.0072,"Yes"
"185","MarketAxess Holdings Inc.","MKTX","40203040",1097327,754,36,577,302,60,0,146,0,355,21271.6556072729,0,"Yes"
"186","McCormick & Company  Incorporated","MKC","30202030",1097328,5759,3416,3344,2240,3996,150,6159,71,883,25113.3482396254,0.0941,"Yes"
"187","Middleby Corp","MIDD","25201040",1097330,2731,1743,1570,738,2031,80,2603,38,365,7548.82901077351,0.0018,"Yes"
"188","Mohawk Industries  Inc.","MHK","25201020",1097332,9885,7155,5200,9445,1013,156,2803,0,646,9223.51976686526,0.3035,"Yes"
"189","MGM Resorts International","MGM","25301010",1097333,9170,7355,6149,31987,3993,2530,2175,0,1511,16314.1247876906,0.1742,"Yes"
"190","MFA Financial  Inc.","MFA","60101080",1097334,140,0,98,0,0,3,0,0,0,1849.41154733551,0,"Yes"
"191","Juniper Networks  Inc.","JNPR","45201020",1097336,4544,1809,3520,2237,190,82,3418,969,624,7281.0090916156,0.0017,"Yes"
"192","Johnson & Johnson","JNJ","35202010",1097337,88785,24984,66935,46316,60703,331,42860,11785,22303,402946.499567777,1,"Yes"
"193","Jones Lang LaSalle Inc","JLL","60102040",1097338,6580,2691,19050,2199,709,154,4329,0,792,8054.41468655826,0.1271,"Yes"
"194","Jack Henry & Associates  Inc.","JKHY","45102010",1097339,1765,1075,540,712,438,0,646,118,402,11753.5063609392,0.0024,"Yes"
"195","Ross Stores  Inc.","ROST","25504010",1097340,12560,9837,6460,8755,0,339,0,0,620,39614.5001270112,0.5641,"Yes"
"196","Roper Technologies Inc","ROP","45103020",1097341,6298,2300,5668,782,5115,228,11854,395,2177,42076.3504016731,0.0997,"Yes"
"197","Rollins  Inc.","ROL","20201070",1097342,2295,1112,1789,686,439,102,651,0,387,13221.0687324014,0.0012,"Yes"
"198","Rockwell Automation","ROK","20104010",1097343,6782,4004,4140,2152,182,214,1006,361,1125,28641.4943240717,0.2002,"Yes"
"199","ResMed Inc.","RMD","35101010",1097344,3145,1260,1872,1087,499,97,2105,211,796,29983.91525805,0.0019,"Yes"
"200","Ralph Lauren Corp","RL","25203010",1097346,4461,1577,9391,4619,141,453,916,0,384,7604.0124812,6e-04,"Yes"
"201","Raymond James Financial  Inc.","RJF","40203020",1097347,8308,491,16714,1325,163,276,515,0,1222,12629.3850710165,0.8532,"Yes"
"202","Transocean LTD","RIG","10101010",1097348,2589,1568,547,23219,319,109,0,3,-432,1730.22359322636,0.0047,"No"
"203","Robert Half International Inc.","RHI","20202010",1097350,5396,3260,5177,968,1,0,207,0,393,7069.56029832113,0.1853,"Yes"
"204","Royal Gold  Inc (USA)","RGLD","15104030",1097351,642,102,95,3531,0,8,0,5,347,7201.51827581578,0,"Yes"
